INFO 2025-08-31 17:23:05,773 autoreload 53951 8458497152 Watching for file changes with StatReloader
INFO 2025-08-31 17:40:01,240 autoreload 57228 8458497152 Watching for file changes with StatReloader
INFO 2025-08-31 17:40:31,865 autoreload 57399 8458497152 Watching for file changes with StatReloader
INFO 2025-08-31 17:40:53,021 autoreload 57513 8458497152 Watching for file changes with StatReloader
INFO 2025-08-31 17:41:00,786 autoreload 57561 8458497152 Watching for file changes with StatReloader
INFO 2025-08-31 17:54:09,045 basehttp 57561 6156513280 "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
INFO 2025-08-31 17:54:09,206 basehttp 57561 6156513280 "POST /api/auth/register/ HTTP/1.1" 201 1041
INFO 2025-08-31 17:54:09,371 basehttp 57561 6156513280 "OPTIONS /api/chat/conversations/ HTTP/1.1" 200 0
INFO 2025-08-31 17:54:09,378 basehttp 57561 6173339648 "OPTIONS /api/chat/folders/ HTTP/1.1" 200 0
INFO 2025-08-31 17:54:09,398 basehttp 57561 6190166016 "OPTIONS /api/auth/client-info/status/ HTTP/1.1" 200 0
INFO 2025-08-31 17:54:09,400 basehttp 57561 6206992384 "OPTIONS /api/chat/conversations/ HTTP/1.1" 200 0
INFO 2025-08-31 17:54:09,404 basehttp 57561 6223818752 "OPTIONS /api/chat/folders/ HTTP/1.1" 200 0
INFO 2025-08-31 17:54:09,412 basehttp 57561 6156513280 "GET /api/chat/conversations/ HTTP/1.1" 200 2
INFO 2025-08-31 17:54:09,414 basehttp 57561 6190166016 "GET /api/auth/client-info/status/ HTTP/1.1" 200 46
INFO 2025-08-31 17:54:09,419 basehttp 57561 6173339648 "GET /api/chat/folders/ HTTP/1.1" 200 2
INFO 2025-08-31 17:54:09,431 basehttp 57561 6223818752 "GET /api/chat/conversations/ HTTP/1.1" 200 2
INFO 2025-08-31 17:54:09,432 basehttp 57561 6190166016 "GET /api/chat/folders/ HTTP/1.1" 200 2
INFO 2025-08-31 17:54:09,441 basehttp 57561 6223818752 "GET /api/auth/client-info/status/ HTTP/1.1" 200 46
INFO 2025-08-31 17:56:16,140 basehttp 57561 6190166016 "GET /api/chat/folders/ HTTP/1.1" 200 2
INFO 2025-08-31 17:56:16,142 basehttp 57561 6223818752 "GET /api/chat/conversations/ HTTP/1.1" 200 2
INFO 2025-08-31 17:56:16,149 basehttp 57561 6173339648 "GET /api/chat/folders/ HTTP/1.1" 200 2
INFO 2025-08-31 17:56:16,154 basehttp 57561 6190166016 "GET /api/chat/conversations/ HTTP/1.1" 200 2
